NJID,NJName,Rating,AsOfDate
4364,Raritan,1482.055086,11/19/2019
8791,Marsha Stern Talmudical Academy (NY),1475.021962,11/19/2019
4559,South River,1472.360614,11/19/2019
6340,Kushner,1488.472212,11/19/2019
6707,South Shore (NY),1476.835088,11/19/2019
8909,McArthur (FL),1475.174007,11/19/2019
7667,Cumberland Valley (PA),1472.802841,11/19/2019
7574,Kiski School (PA),1479.541822,11/19/2019
2834,Cherry Hill West,1478.620431,11/19/2019
6640,Nazareth (PA),1472.208511,11/19/2019
4938,Woodbury,1467.641848,11/19/2019
2916,Cranford,1473.437001,11/19/2019
4466,Rutherford,1473.414826,11/19/2019
3360,Becton,1477.030277,11/19/2019
8886,Universal Audenried Charter (PA),1469.995722,11/19/2019
10032,Christiana High School (De.),1466.400833,11/19/2019
9716,Eastern University Charter (PA),1466.839754,11/19/2019
9479,Coventry Christian (PA),1461.368942,11/19/2019
6487,Solebury (PA),1472.299083,11/19/2019
7076,Springfield (PA),1470.002572,11/19/2019
6479,Academy New Church (PA),1464.074414,11/19/2019
10051,Hillsborough Baptist School (Fl.),1461.362482,11/19/2019
10011,Waterbury Yeshiva,1462.974166,11/19/2019
7737,William Penn (DE),1461.731108,11/19/2019
7290,Mount Airy Christian (MD),1458.997998,11/19/2019
8102,Fort Hamilton (NY),1466.260204,11/19/2019
9245,Kingswood Oxford (CT),1458.904598,11/19/2019
7377,Harmony Christian (NY),1456.58076,11/19/2019
7565,Saunders (NY),1451.474958,11/19/2019
7043,Bristol (PA),1451.323942,11/19/2019
8229,Prestige Prep,1455.726746,11/19/2019
4965,Woodstown,1455.963508,11/19/2019
8864,Martin Luther King (PA),1454.476016,11/19/2019
3448,Indian Hills,1458.833034,11/19/2019
3711,Livingston,1454.369909,11/19/2019
3482,Jackson Memorial,1457.596187,11/19/2019
2646,Belleville,1460.812187,11/19/2019
6728,Pomfret (CT),1449.824007,11/19/2019
6674,Morris County Home Schoolers,1447.569518,11/19/2019
7785,Brandywine (DE),1447.353275,11/19/2019
4472,Salem,1454.087024,11/19/2019
3818,Matawan,1450.017236,11/19/2019
8022,Boys' Latin (PA),1451.781708,11/19/2019
8241,Bergtraum (NY),1448.886421,11/19/2019
9808,Olympus Prep,1455.319677,11/19/2019
6633,Pen Argyl (PA),1450.72969,11/19/2019
7325,Ross Corners Christian (NY),1446.755908,11/19/2019
9836,Perry Hall Christian (Md.),1445.510959,11/19/2019
5120,St. Mary (Ruth.),1454.260053,11/19/2019
2711,Brick Township,1443.29398,11/19/2019
6821,Berkshire (MA),1444.632568,11/19/2019
4261,Passaic,1441.910119,11/19/2019
8936,Cross Christian (DE),1433.615659,11/19/2019
3301,Nottingham,1439.824298,11/19/2019
9791,Keswick Christian (FL),1445.09994,11/19/2019
2587,Asbury Park,1436.270988,11/19/2019
4331,Princeton,1444.474257,11/19/2019
6742,City Center Academy (PA),1439.264425,11/19/2019
3031,Edison,1437.932032,11/19/2019
9437,Agape Christian,1439.034137,11/19/2019
2767,Cape May Tech,1439.392696,11/19/2019
10005,A.D.I.C.T. Academy (Canada),1434.170484,11/19/2019
7638,Montgomery Blair (MD),1441.485384,11/19/2019
3026,Paterson Eastside,1431.645708,11/19/2019
8317,Allegany-Limestone (NY),1434.758823,11/19/2019
3761,Manalapan,1442.054535,11/19/2019
4222,Orange,1430.389088,11/19/2019
9985,KIPP NYC,1431.451303,11/19/2019
7461,John Jay (NY),1429.603759,11/19/2019
3935,Monmouth,1441.323835,11/19/2019
9744,Penn-Trafford (PA),1432.799464,11/19/2019
6380,Community,1427.138112,11/19/2019
4522,Shore,1435.490205,11/19/2019
3042,Egg Harbor,1426.270014,11/19/2019
3716,Long Branch,1428.008375,11/19/2019
4927,Winslow,1419.690618,11/19/2019
9800,Canterbury (FL),1425.742087,11/19/2019
8592,Solomon Schechter (NY),1424.025836,11/19/2019
9297,Delcastle Tech (DE),1423.012991,11/19/2019
8861,Marion P. Thomas Charter,1431.359261,11/19/2019
6246,Pennington,1425.2394,11/19/2019
6656,Conwell-Egan (PA),1424.764989,11/19/2019
5976,Donovan Catholic,1426.589912,11/19/2019
6688,Malvern Prep (PA),1424.415039,11/19/2019
2584,Arts,1427.586183,11/19/2019
9986,Wicomico (MD),1419.031159,11/19/2019
3208,Garfield,1414.1848,11/19/2019
3067,Emerson Boro,1414.138041,11/19/2019
3586,Kinnelon,1418.262886,11/19/2019
9675,Cristo Rey (PA),1416.464802,11/19/2019
5232,Gloucester Catholic,1409.879906,11/19/2019
4757,Voorhees,1405.245995,11/19/2019
5829,Morris Catholic,1402.250581,11/19/2019
4028,Old Tappan,1404.854422,11/19/2019
6693,Friends Select (PA),1410.155599,11/19/2019
3885,Metuchen,1405.558174,11/19/2019
6376,Faith Christian,1402.561487,11/19/2019
2861,Clearview,1394.074534,11/19/2019
6390,Gloucester Christian,1384.012918,11/19/2019
10057,MCCHE (Nj.),1388.970908,11/19/2019
4290,Perth Amboy Tech,1394.756277,11/19/2019
9749,Science Leadership,1393.713364,11/19/2019
9218,Tacony Academy (PA),1387.942336,11/19/2019
6457,Baptist Regional,1386.509621,11/19/2019
9944,St. James (MD),1381.850492,11/19/2019
3650,Leonia,1396.08413,11/19/2019
6295,Barnstable,1387.100655,11/19/2019
